Mix_ID;Cement;Water;NCA;NFA;RCA_P;MRCA_P;RFA_P;Silica_Fume;Fly_Ash;RHA_P;Nylon_Fiber;Fiber_Type;SP;W_C;Agg_Size;Slump;Density;CS_7;CS_28;CS_90;STS;FS;EM;Water_Abs;UPV;Shrinkage;Carb_Depth;Cl_Perm;CO2;Energy;Cost;ACV;Sp_Gravity;Sustainability;Is_Synthetic
Synthetic_Mix_189;450;211.9;756.9;644.4;21.5;0;0;13.7;0;0;0;0;0;0.457;20;19.4;2367.8;0;34.45;0;0.51;3.82;27.59;0;4061;0;0;0;389.78;0;67.51;0;0;0.0002;1
Synthetic_Mix_190;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_191;411.7;173.8;817;689.4;30.3;0;0;0;4.6;0;0;0;0;0.417;19.8;24.3;2400;0;45.39;0;3.71;1.4;31.66;0;4335;0;0;0;357.52;0;61.84;0;0;0.0004;1
Synthetic_Mix_192;398.2;163.6;837.7;707;21;0;0;0;3.2;0;0;0;0;0.408;19.8;16.8;2400;0;47.4;0;3.79;4.48;32.36;0;4385;0;0;0;346.23;0;60.97;0;0;0.0004;1
Synthetic_Mix_193;307.7;185.3;1102.3;778.5;3.1;0;0;0;0;0;0;0;3.31;0.602;19.4;149.2;1613.6;23.1;35.22;0;3.26;3.4;27.89;0;4080;0;0;0;273.27;0;61.61;8.79;1.79;0.0004;1
Synthetic_Mix_194;402.7;211.5;750.6;739.7;25;0;0;15.9;0;0;0;0;0;0.505;20;22.5;2362.5;0;31.12;0;0.59;3.63;26.22;0;3978;0;0;0;350.06;0;64.38;0;0;0.0002;1
Synthetic_Mix_195;394;214.3;644;1100;0;0;0;0;0;0;0;0;0;0.544;20;0;2400;0;44.29;0;3.66;4.33;31.28;0;4307;0;0;0;343.62;0;62.26;0;0;0.0004;1
Synthetic_Mix_196;367.6;183.8;1104.9;767.1;3.4;0;0;0;0;0;0;0;5.43;0.5;20;121.2;1651.9;23.7;35.13;0;3.26;3.5;27.86;0;4078;0;0;0;325.62;0;70.68;9.02;1.83;0.0003;1
Synthetic_Mix_197;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_198;443;146.5;888.6;609.4;4.2;0;0;35;0;0;0;0;7;0.306;4.3;37.3;2400;0;85.25;18.8;1.7;6;43.4;0;5331;0;0;0;389.64;0;84.19;0;0;0.0005;1
Synthetic_Mix_199;450;211.9;756.9;644.4;21.5;0;0;13.7;0;0;0;0;0;0.457;20;19.4;2367.8;0;34.45;0;0.51;3.82;27.59;0;4061;0;0;0;389.78;0;67.51;0;0;0.0002;1
Synthetic_Mix_200;432.7;162.7;466.1;706.7;51.8;0;0;0;0;0;0;0;0;0.376;18.4;107.4;1111.4;0;43.2;0;1.52;4.27;30.89;0;4280;0;0;0;373.66;0;58.74;0;0;0.0004;1
Synthetic_Mix_1;440.34;163.5;232.18;913.3;47.88;0;0;0;0;0;0;0;0.91;0.371;15.2;131.4;1671.7;0;34.001;0;3.21;3.79;27.41;0;4050;0;0;0;380.65;0;59.84;0;0;0.0003;1
Synthetic_Mix_2;393.2;165.9;136.2;646.6;83.05;0;12.75;19.22;0;5.17;0;0;3.64;0.402;18.1;0;2275.4;0;41.97;0;0.615;1.23;2.4;0;4249;0;0;0;341.07;0;59.39;0;0;0.0004;1
Synthetic_Mix_3;401.78;198.8;333.1;873.3;37.38;0;0;0;0;0;0;0;0.3;0.495;19.4;30.3;1355.7;11.53;23.36;0;1.21;3.14;15.7;0;3784;0;0;0;347.75;0;56.1;0;0;0.0002;1
Synthetic_Mix_4;401.2;204.3;612;830.4;32.25;0;0;0;0;0;0;0;0.18;0.509;19.8;25.9;1193.3;0;29.98;0;0.69;3.56;25.73;0.36;3950;0;3.96;0.95;348.36;0;59.53;0;0.86;0.0003;1
Synthetic_Mix_5;354.8;175.7;1048.8;698.8;8.25;0;0;0;0;0;0;0;1.07;0.495;16;80;2377.3;0;30.06;0;2.68;3.56;25.77;0;3952;0;0;0;311.07;0;61.2;0;0;0.0003;1
Synthetic_Mix_6;285.4;195.4;85.2;852.5;90.8;0;0;0;6.48;0;0;0;3.52;0.669;12.8;189;2400;0;20.06;0;2.46;2.91;21.05;0;3702;0;0;0;249.81;0;45.52;0;0;0.0003;1
Synthetic_Mix_7;330.1;172.5;601.7;747.5;45.2;0;1.7;0;0;0.67;0;0;2.94;0.523;10;4.1;2332.2;1.45;33.05;0;0.51;0.83;4.18;0;4026;0;0;0;289.39;0;55.42;0;0;0.0004;1
Synthetic_Mix_8;367.6;183.8;1104.9;767.1;3.4;0;0;0;0;0;0;0;5.43;0.5;20;121.2;1651.9;23.7;35.13;0;3.26;3.5;27.86;0;4078;0;0;0;325.62;0;70.68;9.02;1.83;0.0003;1
Synthetic_Mix_9;374.3;149.6;1086.9;642.8;0;0;0;14.6;0;0;0;0;5.99;0.385;12.3;222.1;2400;11.3;49.19;26.5;1.7;2.9;32.96;0;4430;0;0;0;331.29;0;74.08;0;0.76;0.0004;1
Synthetic_Mix_10;404.7;203.8;321.6;1089.4;1.1;0;0;0;0;0;0;0;0;0.504;19.5;0;2400;0;39.5;0;3.46;4.09;29.54;0;4188;0;0;0;351.05;0;58.37;0;0;0.0003;1
Synthetic_Mix_11;402;194;20.2;1100;0;0;0;0;0;0;0;0;0;0.483;20;3.2;2400;0;47.33;0;3.78;4.47;32.33;0;4383;0;0;0;347.3;0;53.7;0;0;0.0005;1
